"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF094_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Tertiary education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.571532857165248","1.518171035575683","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF013_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","General services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF041_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","General economic, commercial and labour affairs, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0740_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Public health services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6550290213303432","0.7116950368259906","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF025_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Defence n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0320_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Fire-protection services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF1080_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","R&D Social protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0620_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Community development, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0210_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Military defence, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF1040_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Family and children, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
