"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF0520_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Waste water management, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00358062167549224","0.00112446728362438","0.000358677484379596","0.000334111813859626","0.000623085957823311","0.0856309016875695","0.0799375521404755","0.0941174127173042","0.0795550121825386","0.0730223289227575","0.0349714885225518","0.0334431046897101","0.0435011603305369","0.105543971228988","0.107746078408551","0.104934674129405","0.113212573255194","0.118551897420169","0.106342352688664","0.0941626388658098","0.0811955472143933","0.0902232944516502"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF0712_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Other medical products, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.95104096629044","1.97943724160679","1.97200880911902","2.2666145452237","2.21351286516731","2.10640367688606","1.98797717756062","2.02203044623605","1.92969678051487","2.12560248520686","2.14316938829038","2.07493448440967","1.94460972089152","1.99042908079083","1.9233007545551","2.14163598000107","2.30219548760392","2.12081087138594","2.07653304417877","1.90974354528356","1.8576887278783","2.01870520276728"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF0340_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Prisons, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.748349930177877","0.733527491350973","0.695116964727656","0.696289020083461","0.753310923008384","0.704853000285436","0.750286353479564","0.768874525055649","0.747860468745936","0.757759642312972","0.752469861376905","0.718569877813881","0.730172368853888","0.702312886473409","0.804437542192234","0.737125726269023","0.798373208112897","0.925560025007962","0.868299943971657","0.823019995713312","0.817949774287277","0.884625731902301"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF0360_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Public order and safety n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.588813342192057","0.640196706810149","0.699779772024591","0.797524899682928","0.695052385951904","0.745338358566294","0.825663709692562","0.769870476512975","0.702988840621179","0.739402073589374","0.753829863708338","0.752561230121455","0.732149694323458","0.717047921417716","0.749566854113805","0.794759078060097","0.777929898031247","0.837678270203956","0.844188244082877","0.748725432823025","0.795716362701054","0.757766311824829"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF042_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Agriculture, forestry, fishing and hunting, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.83058147882268","1.79572274640988","1.45572163451401","1.41645395493885","1.41426532090875","1.34747294529587","1.12778558366019","1.3762109199788","1.37959339147136","1.59327334385722","1.22584085529225","1.08044490587667","1.02991033698915","0.885237153644567","0.765045199862666","0.696487407541939","0.643816073453561","0.675133549552575","0.650468957143388","0.631244617979781","0.644047197607227","0.565818721266548","0.595397683801652","0.595364381811859"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF0980_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Education n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.570910233814595","0.570854557653312","0.674672348118019","0.685263330226093","0.728387484695451","0.675144320108116","0.680005686832568","0.698659947314168","0.967666415212132","1.41149306185889","1.49600256457582","1.3240179971418","1.30683237852481","1.32306906790624","1.28646822322061","1.30845466741359","1.23232892666427","1.16074693593479","1.16711777380717","1.17944123745602","1.21204789338425","1.07611783927786"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF0760_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Health n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.04568077564222","6.28689658274393","6.3457220536438","6.05310373169485","6.44115108899848","6.60522989275749","6.48325737477568","6.80185047780771","6.47083560943041","6.66053387889308","6.89424039012638","7.39421562213312","7.50880359226111","7.22753464018244","7.31160232385678","7.30910364801359","7.3334179975468","7.34623641961474","7.25790041449824","6.53948689790699","6.50381782552875","7.20922399217846"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF0560_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Environmental protection n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.831897769272696","0.940804293965734","0.931844104418189","0.928162618902042","0.996002903580564","0.904949699126798","1.13763476049583","1.11073486278279","1.12612612612613","1.2083359679844","1.09460759075587","1.37792901289844","1.12258159613307","0.915628217934594","0.923656582653547","0.920680687015383","0.8575349085007","0.901525249784719","0.892690391836029","0.87491781841301","0.817295850417094","0.892718488010691"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF0620_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Community development, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.260987535458101","0.35495683919743","0.483855926428074","0.418976214579971","0.41777913472053","0.482329160525902","0.48096654693917","0.652846180277173","0.507244491845069","0.600088524275845","0.567120972207381","0.577304741610898","0.530282739566462","0.511956795506842","0.553030025905616","0.507076632985327","0.509688889990212","0.593054392318309","0.702723646469517","0.631082340531597","0.657629438780737","0.73359740506869"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF091_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Pre-primary and primary education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.26929457774524","4.30333629443051","4.29731494035193","4.22551210988269","4.34259758304957","4.25358397362335","4.12349010571607","4.04679975897975","3.81777350016041","4.83171208805106","4.80916252999291","3.94811384544534","4.05351721261821","3.91078107678838","3.84394111211245","3.88468163627059","3.96817038569712","4.05686362403124","4.14107992540704","3.85344343859801","3.58720837720073","3.8678999735345"
