"incident_id","incident_date","incident_time","updated_date","state","city_or_county","address","business_location_name","latitude","longitude","killed","injured","victims_killed","victims_injured","suspects_killed","suspects_injured","suspects_arrested","incident_characteristics","sources","date_fixed","year"
708777,"November 23, 2016","N/A",1747246129,"Mississippi","Hernando","928 Cross Rd","N/A",34.8471,-89.8654,0,4,0,4,0,0,1,"Shot - Wounded/Injured, Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Domestic Violence","c(""http://www.wmcactionnews5.com/story/33785883/4-shot-in-desoto-county?utm_content=sf43339236&utm_medium=spredfast&utm_source=twitter&utm_campaign=WMC&sf43339236=1"", ""http://www.wmcactionnews5.com/story/33785883/4-shot-in-desoto-county-shooter-in-custody"", ""http://www.localmemphis.com/news/local-news/suspect-arrested-after-four-shot-in-desoto-county"")","2016-11-23",2016
1262013,"November 23, 2018","9:15 PM",1543190401,"Florida","Miami","5801 NW 27th Ave","Heat Food Market",25.8278,-80.2406,2,5,2,5,0,0,0,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Child Involved Incident, Child injured (not child shooter), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","c(""https://www.local10.com/news/florida/miami-dade/detectives-respond-to-shooting-in-miamis-brownsville"", ""https://www.local10.com/news/florida/miami-dade/police-searching-for-pair-of-gunmen-in-fatal-shooting-outside-mini-mart"")","2018-11-23",2018
1556002,"November 23, 2019","N/A",1581061501,"Louisiana","Tallulah","Depot St","Club Peg",32.408,-91.1883,1,6,1,6,0,0,1,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Bar/club incident - in or around establishment","c(""http://dallasurbannews.com/1-dead-6-injured-in-shooting-outside-madison-parish-club/"", ""https://www.myarklamiss.com/news/crime-news/1-dead-6-injured-in-shooting-outside-madison-parish-club/"", ""https://www.vicksburgnews.com/one-dead-six-wounded-in-tallulah-la-club-shooting/"", ""https://www.myarklamiss.com/news/tallulah-officials-residents-respond-to-weekend-club-peg-shooting/"", ""https://www.klfy.com/louisiana/police-lake-providence-man-wanted-on-murder-charges-arrested-in-monroe-drug-sting/"")","2019-11-23",2019
1555879,"November 23, 2019","N/A",1574537401,"California","Los Angeles","833 S Spring St","N/A",34.0425,-118.255,0,4,0,4,0,0,1,"Shot - Wounded/Injured, Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), House party / Block Party / Park Party / Private Parties at event spaces / Weddings and Funerals, ETC","https://ktla.com/2019/11/23/4-injured-after-man-fires-at-crowd-during-fight-at-downtown-l-a-party/","2019-11-23",2019
2173531,"November 23, 2021","6:00 AM",1637706601,"Florida","Lehigh Acres","Cervantes St","N/A",26.5768,-81.6005,0,4,0,4,0,0,0,"Shot - Wounded/Injured, Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), House party / Block Party / Park Party / Private Parties at event spaces / Weddings and Funerals, ETC","c(""https://www.news-press.com/story/news/crime/2021/11/23/1-injured-in-shooting-lehigh-acres-florida-street-blocked-during-investigation/8731832002/"", ""https://www.winknews.com/2021/11/23/deputies-investigating-lehigh-acres-shooting-2/"", ""https://nbc-2.com/news/crime/2021/11/23/deputies-respond-to-shooting-in-lehigh-acres/"")","2021-11-23",2021
2174033,"November 23, 2021","11:37 AM",1637731828,"Texas","Marshall","700 block of Cross St","N/A",32.5283,-94.3606,1,3,1,3,0,0,1,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","https://www.kltv.com/2021/11/23/3-wounded-1-dead-1-arrested-after-marshall-shooting/","2021-11-23",2021
2466835,"November 23, 2022","6:25 PM",1746036542,"Maryland","Temple Hills (Hillcrest Heights)","2300 block of Iverson St","N/A",38.835,-76.9567,0,4,0,4,0,0,0,"Shot - Wounded/Injured, Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","https://www.fox5dc.com/news/3-teens-1-adult-shot-outside-shopping-center-in-temple-hills","2022-11-23",2022
2466431,"November 23, 2022","11:30 AM",1669393935,"Pennsylvania","Philadelphia","1901 N 60th St","N/A",39.9804,-75.2409,0,4,0,4,0,0,0,"Shot - Wounded/Injured, Drive-by (car to street, car to car), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","c(""https://6abc.com/overbrook-high-school-shooting-students-shot-philadelphia-police/12485459/"", ""https://www.fox29.com/news/i-couldve-lost-my-son-mother-teen-shot-near-overbrook-high-school-calls-end-violence"")","2022-11-23",2022
2762964,"November 23, 2023","3:00 AM",1700794961,"Georgia","Decatur","3000 block of Cascade Manor Dr","N/A",33.6978,-84.2499,0,4,0,4,0,0,0,"Shot - Wounded/Injured, Drive-by (car to street, car to car), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","c(""https://www.11alive.com/article/news/crime/dekalb-county-crime-four-injured-shooting-cascade-manor-drive/85-49f570fb-4372-49a5-819f-484f9c82a779"", ""https://www.atlantanewsfirst.com/2023/11/23/more-than-100-rounds-fired-into-dekalb-county-home-injuring-4-people-inside/"")","2023-11-23",2023
2762712,"November 23, 2023","12:10 AM",1700751601,"Illinois","Chicago","2000 block of W Monroe St","N/A",41.88,-87.6772,0,5,0,5,0,0,0,"Shot - Wounded/Injured, Drive-by (car to street, car to car), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","https://www.fox32chicago.com/news/chicago-crime-near-west-side-drive-by-shooting-5-injured","2023-11-23",2023
2763545,"November 23, 2023","9:30 PM",1700882832,"Tennessee","Memphis","2707 Kimball Ave","N/A",35.0948,-89.9725,0,4,0,4,0,0,0,"Shot - Wounded/Injured, Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","https://www.localmemphis.com/article/news/crime/3-killed-at-least-5-injured-in-multiple-shootings-on-thanksgiving/522-233d430e-04ba-4e68-a192-b4ba305c91a3","2023-11-23",2023
454788,"November 24, 2015","10:00 PM",1567541531,"South Carolina","Conway","1321 Colletta Ct","N/A",33.8706,-79.1407,0,4,0,4,0,0,0,"Shot - Wounded/Injured, Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), House party / Block Party / Park Party / Private Parties at event spaces / Weddings and Funerals, ETC","c(""http://wpde.com/news/local/overnight-shooting-in-conway-11-25-2015"", ""https://www.myrtlebeachonline.com/news/local/crime/article47999175.html"")","2015-11-24",2015
709276,"November 24, 2016","N/A",1506706613,"New York","Albany","77 Central Ave","ROCKS Nightclub",42.6591,-73.7658,1,3,1,3,0,0,1,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Bar/club incident - in or around establishment","c(""http://news10.com/2016/11/24/three-people-injured-one-person-killed-during-shooting-at-rocks-nightclub-in-albany/"", ""http://www.timesunion.com/local/article/Alert-Thanksgiving-homicide-victim-s-name-10639773.php"", ""http://cbs6albany.com/news/local/police-have-identified-victim-in-thanksgiving-club-shooting"", ""http://www.dailygazette.com/news/2016/nov/28/brooklyn-man-charged-connection-albany-shooting/"", ""http://news10.com/2016/12/12/man-accused-in-fatal-rocks-nightclub-shooting-indicted-on-murder-charges/""
)","2016-11-24",2016
709370,"November 24, 2016","N/A",1507170601,"Kentucky","Louisville","4501 W Broadway","Shawnee Park",38.2506,-85.827,2,4,2,4,0,0,0,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Shootout (where VENN diagram of shooters and victims overlap)","c(""http://www.wdrb.com/story/33789335/police-responding-to-reports-of-multiple-shootings-at-shawnee-park"", ""http://www.lex18.com/story/33789471/reports-multiple-people-shot-at-shawnee-park-in-louisville"", ""http://www.wave3.com/story/33789351/update-fbi-atf-join-investigation-into-deadly-mass-shooting-at-shawnee-park"", ""http://www.wave3.com/story/33793395/update-victims-killed-in-shooting-incident-at-shawnee-park-identified-5-others-hurt"", ""http://www.wdrb.com/story/34001942/man-shot-during-juice-bowl-a-random-guy-just-walked-up-and-started-shooting"", 
""http://www.wave3.com/story/34091842/lmpd-1-juice-bowl-homicide-case-closed"")","2016-11-24",2016
994323,"November 24, 2017","12:15 AM",1740675585,"Mississippi","Brookhaven","119 Martin Street","Oasis Club",31.5739,-90.4442,1,6,1,6,0,0,0,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Bar/club incident - in or around establishment","c(""http://www.wapt.com/article/brookhaven-police-look-for-suspect-after-club-shooting/13917986"", ""http://m.dailyleader.com/2017/11/24/victim-identified-in-fatal-overnight-shooting-suspect-considered-armed-and-dangerous/"", ""http://www.therepublic.com/2018/08/14/ms-nightclub-shooting/"")","2017-11-24",2017
995015,"November 24, 2017","7:30 PM",1680116702,"Ohio","Cleveland","11618 Buckeye Rd","N/A",41.4807,-81.6022,1,5,1,5,0,0,5,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Drive-by (car to street, car to car), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Gang involvement","c(""https://www.nbcnews.com/news/us-news/cleveland-shooting-police-search-suspect-after-12-year-old-killed-n823886"", ""https://www.usatoday.com/story/news/nation/2017/11/25/children-shot-cleveland/894380001/"", ""http://www.cleveland.com/metro/index.ssf/2017/11/multiple_people_have_been_shot.html"", ""http://www.cleveland.com/metro/index.ssf/2017/11/officials_identify_boy_shot_an.html#incart_2box"", ""http://fox8.com/2017/11/25/12-year-old-boy-killed-5-teens-hurt-in-cleveland-shooting-no-arrests/"", ""http://www.wdtimes.com/news/national/article_3c38ad05-5400-5c8e-a839-2f6c1d82d17b.html"", 
""http://www.cleveland.com/metro/index.ssf/2017/11/woman_arrested_in_connection_w.html#incart_river_index"", ""http://www.cleveland.com/metro/index.ssf/2017/12/fourth_suspect_arrested_in_cle.html#incart_river_index"", ""http://www.cleveland.com/metro/index.ssf/2017/12/fifth_charged_in_cleveland_sho.html#incart_river_index"", ""https://www.cleveland19.com/2019/09/09/plea-expected-gunman-accused-shooting-group-children-killing-year-old-boy-injuring-others/"")","2017-11-24",2017
1556633,"November 24, 2019","1:15 AM",1574627401,"California","Los Angeles","100 block of E 11th St","N/A",34.0391,-118.258,0,6,0,6,0,0,0,"Shot - Wounded/Injured, Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Bar/club incident - in or around establishment","https://ktla.com/2019/11/24/6-injured-after-shooter-opens-fire-at-downtown-l-a-warehouse-party/","2019-11-24",2019
1557006,"November 24, 2019","12:30 AM",1574915402,"Alabama","Birmingham","7 15th St W","Euphoria Sports Bar & Hookah Lounge",33.4996,-86.861,1,4,1,4,0,0,0,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Drive-by (car to street, car to car), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Bar/club incident - in or around establishment","c(""https://www.al.com/news/birmingham/2019/11/5-shot-one-fatally-outside-west-birmingham-club.html"", ""https://abc3340.com/news/local/birmingham-police-4-injured-1-killed-in-drive-by-shooting-outside-club"", ""https://www.al.com/news/2019/11/he-died-a-hero-birmingham-homicide-victim-fatally-shot-while-protecting-others.html"")","2019-11-24",2019
